Gene,Gene Set Name,Category
LOC_Os09g32810,Pentose Phosphate Pathway,KEGG
LOC_Os09g35970,Pentose Phosphate Pathway,KEGG
LOC_Os10g11140,Pentose Phosphate Pathway,KEGG
LOC_Os10g26570,Pentose Phosphate Pathway,KEGG
LOC_Os11g07020,Pentose Phosphate Pathway,KEGG
LOC_Os11g29400,Pentose Phosphate Pathway,KEGG
LOC_Os01g57854,Pentose And Glucuronate Interconversions,KEGG
LOC_Os01g53990,Pentose And Glucuronate Interconversions,KEGG
LOC_Os01g44340,Pentose And Glucuronate Interconversions,KEGG
LOC_Os01g36620,Pentose And Glucuronate Interconversions,KEGG
LOC_Os01g20980,Pentose And Glucuronate Interconversions,KEGG
LOC_Os01g21034,Pentose And Glucuronate Interconversions,KEGG
LOC_Os02g02560,Pentose And Glucuronate Interconversions,KEGG
LOC_Os02g12300,Pentose And Glucuronate Interconversions,KEGG
LOC_Os02g43194,Pentose And Glucuronate Interconversions,KEGG
LOC_Os02g43280,Pentose And Glucuronate Interconversions,KEGG
LOC_Os02g49720,Pentose And Glucuronate Interconversions,KEGG
LOC_Os03g07300,Pentose And Glucuronate Interconversions,KEGG
LOC_Os03g31210,Pentose And Glucuronate Interconversions,KEGG
LOC_Os03g40720,Pentose And Glucuronate Interconversions,KEGG
LOC_Os03g55070,Pentose And Glucuronate Interconversions,KEGG
LOC_Os04g05050,Pentose And Glucuronate Interconversions,KEGG
LOC_Os04g45720,Pentose And Glucuronate Interconversions,KEGG
LOC_Os05g44600,Pentose And Glucuronate Interconversions,KEGG
LOC_Os06g05209,Pentose And Glucuronate Interconversions,KEGG
LOC_Os06g15990,Pentose And Glucuronate Interconversions,KEGG
LOC_Os06g38510,Pentose And Glucuronate Interconversions,KEGG
LOC_Os06g48760,Pentose And Glucuronate Interconversions,KEGG
LOC_Os07g44660,Pentose And Glucuronate Interconversions,KEGG
LOC_Os07g47290,Pentose And Glucuronate Interconversions,KEGG
LOC_Os08g34900,Pentose And Glucuronate Interconversions,KEGG
LOC_Os09g32810,Pentose And Glucuronate Interconversions,KEGG
LOC_Os09g38030,Pentose And Glucuronate Interconversions,KEGG
LOC_Os10g26680,Pentose And Glucuronate Interconversions,KEGG
LOC_Os10g31910,Pentose And Glucuronate Interconversions,KEGG
LOC_Os11g08300,Pentose And Glucuronate Interconversions,KEGG
LOC_Os11g11060,Pentose And Glucuronate Interconversions,KEGG
LOC_Os12g25690,Pentose And Glucuronate Interconversions,KEGG
LOC_Os12g25700,Pentose And Glucuronate Interconversions,KEGG
LOC_Os12g37660,Pentose And Glucuronate Interconversions,KEGG
LOC_Os12g43664,Pentose And Glucuronate Interconversions,KEGG
LOC_Os01g52450,Fructose And Mannose Metabolism,KEGG
LOC_Os01g66940,Fructose And Mannose Metabolism,KEGG
LOC_Os01g67860,Fructose And Mannose Metabolism,KEGG
LOC_Os01g64660,Fructose And Mannose Metabolism,KEGG
LOC_Os01g05490,Fructose And Mannose Metabolism,KEGG
LOC_Os01g03710,Fructose And Mannose Metabolism,KEGG
LOC_Os01g02880,Fructose And Mannose Metabolism,KEGG
LOC_Os01g71320,Fructose And Mannose Metabolism,KEGG
LOC_Os01g53930,Fructose And Mannose Metabolism,KEGG
LOC_Os01g09460,Fructose And Mannose Metabolism,KEGG
LOC_Os01g09570,Fructose And Mannose Metabolism,KEGG
LOC_Os01g62420,Fructose And Mannose Metabolism,KEGG
LOC_Os01g62840,Fructose And Mannose Metabolism,KEGG
LOC_Os02g48360,Fructose And Mannose Metabolism,KEGG
LOC_Os03g02410,Fructose And Mannose Metabolism,KEGG
LOC_Os03g11050,Fructose And Mannose Metabolism,KEGG
LOC_Os03g16050,Fructose And Mannose Metabolism,KEGG
LOC_Os03g16150,Fructose And Mannose Metabolism,KEGG
LOC_Os03g18310,Fructose And Mannose Metabolism,KEGG
LOC_Os03g54240,Fructose And Mannose Metabolism,KEGG
LOC_Os04g39420,Fructose And Mannose Metabolism,KEGG
LOC_Os04g58580,Fructose And Mannose Metabolism,KEGG
LOC_Os05g07130,Fructose And Mannose Metabolism,KEGG
LOC_Os05g09500,Fructose And Mannose Metabolism,KEGG
LOC_Os05g33380,Fructose And Mannose Metabolism,KEGG
LOC_Os05g36270,Fructose And Mannose Metabolism,KEGG
LOC_Os05g44760,Fructose And Mannose Metabolism,KEGG
LOC_Os05g44922,Fructose And Mannose Metabolism,KEGG
LOC_Os05g45590,Fructose And Mannose Metabolism,KEGG
LOC_Os06g04620,Fructose And Mannose Metabolism,KEGG
LOC_Os06g12600,Fructose And Mannose Metabolism,KEGG
LOC_Os06g13810,Fructose And Mannose Metabolism,KEGG
LOC_Os06g22060,Fructose And Mannose Metabolism,KEGG
LOC_Os06g28194,Fructose And Mannose Metabolism,KEGG
LOC_Os06g40640,Fructose And Mannose Metabolism,KEGG
LOC_Os06g44260,Fructose And Mannose Metabolism,KEGG
LOC_Os06g44270,Fructose And Mannose Metabolism,KEGG
LOC_Os06g45370,Fructose And Mannose Metabolism,KEGG
LOC_Os07g09890,Fructose And Mannose Metabolism,KEGG
LOC_Os07g26540,Fructose And Mannose Metabolism,KEGG
LOC_Os07g47290,Fructose And Mannose Metabolism,KEGG
LOC_Os08g02120,Fructose And Mannose Metabolism,KEGG
LOC_Os08g02700,Fructose And Mannose Metabolism,KEGG
LOC_Os08g25720,Fructose And Mannose Metabolism,KEGG
LOC_Os08g34050,Fructose And Mannose Metabolism,KEGG
LOC_Os08g43190,Fructose And Mannose Metabolism,KEGG
LOC_Os09g22090,Fructose And Mannose Metabolism,KEGG
LOC_Os09g24910,Fructose And Mannose Metabolism,KEGG
LOC_Os09g30240,Fructose And Mannose Metabolism,KEGG
LOC_Os09g36450,Fructose And Mannose Metabolism,KEGG
LOC_Os10g26570,Fructose And Mannose Metabolism,KEGG
LOC_Os11g07020,Fructose And Mannose Metabolism,KEGG
LOC_Os11g38810,Fructose And Mannose Metabolism,KEGG
LOC_Os01g73580,Galactose Metabolism,KEGG
LOC_Os01g52450,Galactose Metabolism,KEGG
LOC_Os01g07530,Galactose Metabolism,KEGG
LOC_Os01g72340,Galactose Metabolism,KEGG
LOC_Os01g71320,Galactose Metabolism,KEGG
LOC_Os01g53930,Galactose Metabolism,KEGG
LOC_Os01g09460,Galactose Metabolism,KEGG
LOC_Os01g09570,Galactose Metabolism,KEGG
LOC_Os02g01590,Galactose Metabolism,KEGG
LOC_Os02g02560,Galactose Metabolism,KEGG
LOC_Os02g33110,Galactose Metabolism,KEGG
LOC_Os03g50480,Galactose Metabolism,KEGG
LOC_Os03g61710,Galactose Metabolism,KEGG
LOC_Os04g33720,Galactose Metabolism,KEGG
LOC_Os04g33740,Galactose Metabolism,KEGG
LOC_Os04g39420,Galactose Metabolism,KEGG
LOC_Os04g45290,Galactose Metabolism,KEGG
LOC_Os04g51880,Galactose Metabolism,KEGG
LOC_Os04g56920,Galactose Metabolism,KEGG
LOC_Os04g56930,Galactose Metabolism,KEGG
LOC_Os05g09500,Galactose Metabolism,KEGG
LOC_Os05g44760,Galactose Metabolism,KEGG
LOC_Os05g44922,Galactose Metabolism,KEGG
LOC_Os05g45590,Galactose Metabolism,KEGG
LOC_Os05g46200,Galactose Metabolism,KEGG
LOC_Os05g51670,Galactose Metabolism,KEGG
LOC_Os06g46284,Galactose Metabolism,KEGG
LOC_Os06g46340,Galactose Metabolism,KEGG
LOC_Os07g07550,Galactose Metabolism,KEGG
LOC_Os07g09890,Galactose Metabolism,KEGG
LOC_Os07g10840,Galactose Metabolism,KEGG
LOC_Os07g26540,Galactose Metabolism,KEGG
LOC_Os07g48160,Galactose Metabolism,KEGG
LOC_Os08g28730,Galactose Metabolism,KEGG
LOC_Os08g34050,Galactose Metabolism,KEGG
LOC_Os08g38710,Galactose Metabolism,KEGG
LOC_Os09g08072,Galactose Metabolism,KEGG
LOC_Os09g15420,Galactose Metabolism,KEGG
LOC_Os09g24910,Galactose Metabolism,KEGG
LOC_Os09g30240,Galactose Metabolism,KEGG
LOC_Os09g35800,Galactose Metabolism,KEGG
LOC_Os09g38030,Galactose Metabolism,KEGG
LOC_Os10g11140,Galactose Metabolism,KEGG
LOC_Os10g26570,Galactose Metabolism,KEGG
LOC_Os10g35110,Galactose Metabolism,KEGG
LOC_Os02g34810,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os02g43194,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os02g43280,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os02g47800,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os02g49720,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os03g17690,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os03g31210,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os03g39000,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os03g40720,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os03g55070,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os04g14680,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os04g35520,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os04g45720,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os04g51300,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os06g15990,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os06g36560,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os06g48760,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os07g49400,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os08g05570,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os08g41090,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os08g43560,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os08g44340,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os09g26880,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os09g39380,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os10g28200,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os11g04740,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os11g08300,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os11g11060,Ascorbate And Aldarate Metabolism,KEGG
